Sentence,Label
"Not interested in our premium service? That's alright, our standard service is still top-notch.",1
"Choosing not to upgrade? No problem, you can upgrade anytime.",1
Skipping our exclusive sale? You're missing out on unbeatable prices.,1
"Skipping our loyalty program? That's fine, but you'll miss out on extra rewards.",1
Choosing not to upgrade? You can still enjoy our service without any additional features.,1
Upgrade your home with our stylish and affordable home decor range.,0
Join our loyalty program for VIP perks and special offers.,0
"Not interested in our premium service? That's okay, our standard service is still top-notch.",1
Opting for our basic package? Enjoy the essentials without any extra frills.,0
Explore our handpicked collection of ethnic wear for every occasion.,0
"Missing out on our flash sale? Don't worry, there will be more opportunities.",1
Ignoring our limited-time offer? You'll regret it when you see what you missed.,1
Shop with confidence with our secure payment gateway.,0
"Rejecting our limited-time offer? No problem, there will be more deals in the future.",0
"Not joining our VIP club? That's okay, but you'll miss out on exclusive perks.",1
Unsubscribing from our newsletter? Stay informed about our latest offers and updates.,1
Avail exclusive discounts on a wide range of products.,0
Customize your shopping experience with personalized recommendations.,0
"Choosing not to upgrade? That's okay, you can still enjoy our basic features.",1
Browse our wide selection of products and find exactly what you need.,0
Get expert advice from our customer support team for all your queries.,0
Opting out of our newsletter? Don't miss out on exciting news and offers.,1
Enjoy fast and reliable delivery with Amazon Prime.,0
Earn rewards points with every purchase and redeem them for future discounts.,0
"Declining our invitation? No worries, we'll keep you updated on future events.",0
"Rejecting our offer? No worries, we have plenty more where that came from.",0
Track your order to see when it will arrive.,0
Shop our clearance section for great discounts on last season's items.,0
Create an account for faster checkout and order tracking.,0
Browse our blog for inspiration and helpful tips.,0
Shop now and avail special launch offers on new arrivals.,0
Enjoy free shipping on orders over $50.,0
"Opting out of our rewards program? No problem, you can still enjoy shopping with us.",1
Sale!,0
Discover exclusive deals and discounts available only to our app users.,0
"Ignoring our offer? That's okay, there's always next time.",0
Not joining our loyalty program? You're still part of our valued community.,1
Deciding not to join our rewards program? You're still a valued customer.,1
Skipping our limited-time offer? You'll regret it when you see what you missed.,1
"Not interested in upgrading? That's perfectly okay, you can still enjoy our service.",1
Missing out on our special offer? There will be more offers coming your way.,1
Get in touch with our customer support team for any questions or concerns.,0
Read customer reviews to help make your purchasing decision.,0
"Choosing not to upgrade? No pressure, you can upgrade at your own pace.",1
Purchasing now ensures you secure the best deal available.,0
Opting out of our exclusive deal? Don't miss your chance to save big.,1
Ignoring our exclusive offer? Don't miss out on this opportunity!,1
Opting for our premium membership unlocks a world of benefits.,0
Find the perfect gift for any occasion in our gift guide.,0
"Choosing not to upgrade? That's fine, you can always upgrade later.",1
Deciding not to subscribe? Stay informed about our latest products and promotions.,1
"Not interested in our premium package? No worries, our standard service is still great.",1
Skipping our rewards program? You're missing out on great benefits!,1
Earn loyalty points with every purchase and redeem them for exciting rewards.,0
"Not interested in our special deal? No problem, there will be more in the future.",0
Get free delivery on orders above Rs. 499.,0
"Deciding not to subscribe? No worries, you can still visit our site anytime.",1
Skipping our flash sale? You're missing out on huge discounts!,1
"Deciding not to upgrade? That's okay, our standard package is still great.",1
Declining our invitation? You'll still be welcome to explore our products.,1
Opting out of our newsletter? You'll miss out on exclusive updates and offers.,1
Stay updated on upcoming sales and promotions by subscribing to our newsletter.,0
Find top-quality beauty and personal care products on Meesho.,0
Not joining our VIP club? You'll still receive great customer service.,1
"Missing out on our flash sale? Hurry, before it's too late!",1
"Refusing our discount? No problem, there will be more deals in the future.",0
Ignoring our flash sale? You'll kick yourself when you realize the savings.,1
Skipping our flash sale? You're missing out on huge savings!,1
Purchasing now ensures you won't miss out on this limited-time offer.,0
"Skipping our flash sale? It's your choice, but you'll miss out on huge discounts.",1
"Deciding not to upgrade? That's fine, you can always upgrade later.",1
Join Meesho's community of resellers and start earning today.,0
Get assistance and support from Amazon's customer service team 24/7.,0
"Dismissing our discount? It's your choice, but you'll miss out on savings.",1
"Not interested in our premium membership? No worries, our standard membership is still great.",1
"Refusing our offer? That's alright, we understand it might not be for everyone.",0
Discover limited-time offers on select products.,0
Missing out on our flash sale? You're missing out on huge discounts!,1
Sign up for our newsletter to receive exclusive deals and updates.,0
Explore our new arrivals for the latest trends and styles.,0
Experience fast and reliable shipping to all corners of India.,0
Declining our invitation? You'll still have access to our regular updates.,1
Shop with confidence thanks to our secure payment system.,0
